file_name,text
./clip_video/Interpreting a graph exercise example ｜ Linear equations and functions ｜ 8th grade ｜ Khan Academy [YyjpeoxdUXc]/videos/clip_0000.mp4,The illustration below shows the graph of y as a function of x.
./clip_video/Interpreting a graph exercise example ｜ Linear equations and functions ｜ 8th grade ｜ Khan Academy [YyjpeoxdUXc]/videos/clip_0001.mp4,So that's this graph right over here.
./clip_video/Interpreting a graph exercise example ｜ Linear equations and functions ｜ 8th grade ｜ Khan Academy [YyjpeoxdUXc]/videos/clip_0002.mp4,And then they start to ask us some questions.
./clip_video/Interpreting a graph exercise example ｜ Linear equations and functions ｜ 8th grade ｜ Khan Academy [YyjpeoxdUXc]/videos/clip_0003.mp4,Complete the sentences based on the graph of the function.
./clip_video/Interpreting a graph exercise example ｜ Linear equations and functions ｜ 8th grade ｜ Khan Academy [YyjpeoxdUXc]/videos/clip_0004.mp4,"So this axis is our y-axis, the vertical axis."
./clip_video/Interpreting a graph exercise example ｜ Linear equations and functions ｜ 8th grade ｜ Khan Academy [YyjpeoxdUXc]/videos/clip_0005.mp4,Horizontal axis is x-axis.
./clip_video/Interpreting a graph exercise example ｜ Linear equations and functions ｜ 8th grade ｜ Khan Academy [YyjpeoxdUXc]/videos/clip_0006.mp4,"Initially, as x increases-- so let's think about it."
./clip_video/Interpreting a graph exercise example ｜ Linear equations and functions ｜ 8th grade ｜ Khan Academy [YyjpeoxdUXc]/videos/clip_0007.mp4,"Initially, so when we start from x equals 0 and x is increasing, what's happening to y?"
./clip_video/Interpreting a graph exercise example ｜ Linear equations and functions ｜ 8th grade ｜ Khan Academy [YyjpeoxdUXc]/videos/clip_0008.mp4,"Well, y is decreasing."
./clip_video/Interpreting a graph exercise example ｜ Linear equations and functions ｜ 8th grade ｜ Khan Academy [YyjpeoxdUXc]/videos/clip_0009.mp4,So y decreases.
./clip_video/Interpreting a graph exercise example ｜ Linear equations and functions ｜ 8th grade ｜ Khan Academy [YyjpeoxdUXc]/videos/clip_0010.mp4,"So as x increases initially, y decreases."
./clip_video/Interpreting a graph exercise example ｜ Linear equations and functions ｜ 8th grade ｜ Khan Academy [YyjpeoxdUXc]/videos/clip_0011.mp4,The slope of the graph is equal to blank for all x between x equals 0 and x equals 3.
./clip_video/Interpreting a graph exercise example ｜ Linear equations and functions ｜ 8th grade ｜ Khan Academy [YyjpeoxdUXc]/videos/clip_0012.mp4,"So x equals 0 and x equals 3, what's the slope?"
./clip_video/Interpreting a graph exercise example ｜ Linear equations and functions ｜ 8th grade ｜ Khan Academy [YyjpeoxdUXc]/videos/clip_0013.mp4,"Well, every time we move 1 in the x direction, we move down in the y direction."
./clip_video/Interpreting a graph exercise example ｜ Linear equations and functions ｜ 8th grade ｜ Khan Academy [YyjpeoxdUXc]/videos/clip_0014.mp4,We go negative 1 in the y direction.
